2025-11-21 14:20:01 | INFO | core.web_driver | Launching Chrome browser...
2025-11-21 14:20:09 | INFO | tests.test_01_validate_promo | Starting test_01_validate_promo
2025-11-21 14:20:09 | INFO | LaunchLandingPage | Navigating to HP Portal Login URL
2025-11-21 14:20:39 | INFO | LaunchLandingPage | Navigating to HP Portal Login URL
2025-11-21 14:20:39 | INFO | LaunchLandingPage | Clicking element (xpath, //button[@id='onetrust-accept-btn-handler']) - Attempt 1
2025-11-21 14:20:39 | INFO | LaunchLandingPage | Navigating to HP Portal Login URL
2025-11-21 14:20:39 | INFO | LaunchLandingPage | Clicking element (xpath, //button[@data-testid='header-sign-up-button']) - Attempt 1
2025-11-21 14:20:50 | INFO | CreateAccountPage | Navigating to create account page
2025-11-21 14:20:50 | INFO | CreateAccountPage | Clicking element (xpath, //button[@data-testid='create-account-button']) - Attempt 1
2025-11-21 14:20:55 | INFO | CreateAccountPage | Entering first name into input field
2025-11-21 14:20:55 | INFO | CreateAccountPage | Entering 'John' into (xpath, //input[@id='firstName']) - Attempt 1
2025-11-21 14:21:10 | WARNING | CreateAccountPage | Entering 'John' into (xpath, //input[@id='firstName']) failed with TimeoutException. Retrying 1/2...
2025-11-21 14:21:10 | INFO | CreateAccountPage | Entering 'John' into (xpath, //input[@id='firstName']) - Attempt 2
2025-11-21 14:21:12 | INFO | CreateAccountPage | Entering last name into input field
2025-11-21 14:21:12 | INFO | CreateAccountPage | Entering 'Doe' into (xpath, //input[@id='lastName']) - Attempt 1
2025-11-21 14:21:12 | INFO | CreateAccountPage | Entering email into input field
2025-11-21 14:21:12 | INFO | CreateAccountPage | Entering 'GSmxolxojj7@mailsac.com' into (xpath, //input[@id='email']) - Attempt 1
2025-11-21 14:21:13 | INFO | CreateAccountPage | Entering password into input field
2025-11-21 14:21:13 | INFO | CreateAccountPage | Entering 'GSGSmxolxojj7@mailsac.com@123' into (xpath, //input[@id='password']) - Attempt 1
2025-11-21 14:21:14 | INFO | CreateAccountPage | Clicking Submit Create Account button
2025-11-21 14:21:14 | INFO | CreateAccountPage | Clicking element (xpath, //button[@id='sign-up-submit']) - Attempt 1
2025-11-21 14:21:14 | INFO | CreateAccountPage | Opening email to fetch verification code
2025-11-21 14:21:36 | INFO | CreateAccountPage | Entering verification code
2025-11-21 14:21:36 | INFO | CreateAccountPage | Entering '004343' into (xpath, //input[@id='code']) - Attempt 1
2025-11-21 14:21:36 | INFO | CreateAccountPage | Clicking Verify button
2025-11-21 14:21:36 | INFO | CreateAccountPage | Clicking element (xpath, //button[contains(@id,'submit-code')]) - Attempt 1
2025-11-21 14:21:36 | INFO | OnboardPrinterPage | Opening printer onboarding URL: https://www.hpsmartstage.com/us/en/newprinter
2025-11-21 14:21:58 | INFO | OnboardPrinterPage | No cookie popup found
2025-11-21 14:21:59 | INFO | OnboardPrinterPage | Printer onboarding URL opened successfully
2025-11-21 14:21:59 | INFO | OnboardPrinterPage | Entering claim code into input field
